,Type,Name,Location,Capacity,Inspections,Phone
40,DAY CARE (FACILITY-BASED PROGRAM),A CHILD'S GARDEN PRESCHOOL,"277 STRATHCONA DRIVE SW  CALGARY, AB  T3H 2A4  ",40,view,  403-217-5658
41,DAY CARE (FACILITY-BASED PROGRAM),A CHILD'S SECOND LOOK,"24 MT BURKE BLVD WEST  UNIT #50  LETHBRIDGE, AB  T1K 7X9  ",47,view,  403-381-2555
42,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A CHILD'S SECOND LOOK,"24 MT BURKE BLVD WEST  UNIT #50  LETHBRIDGE, AB  T1K 7X9  ",47,view,  403-381-2555
43,DAY CARE (FACILITY-BASED PROGRAM),A CHILD'S STORY - TERWILLEGAR DAY CARE,"201 1715 TOWNE CENTRE BLVD  EDMONTON, AB  T6R 0T7  ",139,view,  780-705-4744
44,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A CHILD'S STORY - TERWILLEGAR DAY CARE,"201 1715 TOWNE CENTRE BLVD  EDMONTON, AB  T6R 0T7  ",139,view,  780-705-4744
45,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A CHILD'S VIEW LEARNING CENTRE LTD.,"6107 - 4 AVENUE NE  CALGARY, AB  T2A 5A1  ",159,view,  403-235-6330
46,DAY CARE (FACILITY-BASED PROGRAM),A CHILD'S VIEW LEARNING CENTRE LTD.,"6107 - 4 AVENUE NE  CALGARY, AB  T2A 5A1  ",159,view,  403-235-6330
47,PRE-SCHOOL (FACILITY-BASED PROGRAM),A FAIRYTALE BEGINNING,"515 10470 98 AVE  FORT SASKATCHEWAN, AB  T8L 0V6  ",48,view,  780-912-1167
48,PRE-SCHOOL (FACILITY-BASED PROGRAM),A FAIRYTALE BEGINNING OLA,"ROOM 106, 9622 SHERRIDAN DRIVE  FORT SASKATCHEWAN, AB  T8L 1W7  ",15,view,  780-912-1167
49,PRE-SCHOOL (FACILITY-BASED PROGRAM),A FAIRYTALE BEGINNING ST. JOHN,"ROOM 125, 9526 89 STREET  FORT SASKATCHEWAN, AB  T8L 2X7  ",15,view,  780-912-1167
50,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A NANA'S LOVE DAYCARE,"570 ST. ALBERT TRAIL  ST. ALBERT, AB  T8N 5Z1  ",126,view,  780-470-4001
51,DAY CARE (FACILITY-BASED PROGRAM),A NANA'S LOVE DAYCARE,"570 ST. ALBERT TRAIL  ST. ALBERT, AB  T8N 5Z1  ",126,view,  780-470-4001
52,DAY CARE (FACILITY-BASED PROGRAM),A PLACE TO GROW EARLY LEARNING AND CARE,"2407 90B STREET  EDMONTON, AB  T6X 0P4  ",113,view,  587-463-3888
53,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A PLACE TO GROW EARLY LEARNING AND CARE,"2407 90B STREET  EDMONTON, AB  T6X 0P4  ",113,view,  587-463-3888
54,PRE-SCHOOL (FACILITY-BASED PROGRAM),A STEP AHEAD PRESCHOOL,"4A RAVEN DRIVE  SHERWOOD PARK, AB  T8A 0C3  ",24,view,  780-237-6826
55,PRE-SCHOOL (FACILITY-BASED PROGRAM),A TO Z PRE-SCHOOL,"404 - 4 AVENUE NORTH  COCHRANE, AB  T4C 1E4  ",18,view,  403-803-7106
56,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A.L. HORTON AFTER SCHOOL CARE PROGRAM,"5037-48 AVENUE  VEGREVILLE, AB  T9C 1L8  ",60,view,  780-632-3113
57,PRE-SCHOOL (FACILITY-BASED PROGRAM),A.R.C.-CANDORA CAC,"3006 119 AVENUE  EDMONTON, AB  T5W 4T4  ",20,,  780-479-5895
58,DAY CARE (FACILITY-BASED PROGRAM),A2Z KIDZ ED.,"8003 FAIRMOUNT DRIVE SE  CALGARY, AB  T2H 0Y2  ",45,view,  403-258-1889
59,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A2Z KIDZ ED.,"8003 FAIRMOUNT DRIVE SE  CALGARY, AB  T2H 0Y2  ",45,view,  403-258-1889
60,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A2Z KIDZ ED. (2),"416 - 83 AVENUE SE  CALGARY, AB  T2H 1N3  ",42,view,  403-252-2288
61,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ABC CHILD DEVELOPMENT CENTRE,"8B 11411 40 AVENUE  EDMONTON, AB  T6J 0R4  ",149,view,  780-434-9261
62,DAY CARE (FACILITY-BASED PROGRAM),ABC CHILD DEVELOPMENT CENTRE,"8B 11411 40 AVENUE  EDMONTON, AB  T6J 0R4  ",149,view,  780-434-9261
63,DAY CARE (FACILITY-BASED PROGRAM),ABC PROGRAM,"16520 - 24 STREET SW  CALGARY, AB  T2Y 4W2  ",114,view,  403-254-4083
64,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ABC PROGRAM,"16520 - 24 STREET SW  CALGARY, AB  T2Y 4W2  ",114,view,  403-254-4083
65,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ACA PRESCHOOL AND OUT OF SCHOOL CARE,"77 GATEWAY DRIVE NE  AIRDRIE, AB  T4B 0J6  ",20,view,  404-948-5100
66,PRE-SCHOOL (FACILITY-BASED PROGRAM),ACA PRESCHOOL AND OUT OF SCHOOL CARE,"77 GATEWAY DRIVE NE  AIRDRIE, AB  T4B 0J6  ",20,view,  404-948-5100
67,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ACCI - DAYCARE,"134, 85 RAILWAY AVENUE SW  AIRDRIE, AB  T4B 3W9  ",56,view,  587-254-0233
68,DAY CARE (FACILITY-BASED PROGRAM),ACCI - DAYCARE,"134, 85 RAILWAY AVENUE SW  AIRDRIE, AB  T4B 3W9  ",56,view,  587-254-0233
69,DAY CARE (FACILITY-BASED PROGRAM),ACHIEVE DAYCARE CENTRE,"8991 BONAVENTURE DRIVE SE  CALGARY, AB  T2H 2Z5  ",40,view,  403-774-4064
70,DAY CARE (FACILITY-BASED PROGRAM),ACME DAY CARE - CURIOSITY CORNER,"323 CLARKE STREET  ACME, AB  T0M 0A0  ",34,view,  403-546-0028
71,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ACME DAY CARE - CURIOSITY CORNER,"323 CLARKE STREET  ACME, AB  T0M 0A0  ",34,view,  403-546-0028
72,PRE-SCHOOL (FACILITY-BASED PROGRAM),ACME PLAYSCHOOL,"620 WALSH AVE  ACME, AB  T0M 0A0  ",24,view,  403-650-8793
73,PRE-SCHOOL (FACILITY-BASED PROGRAM),ACTIVE EXPLORERS PRESCHOOL,"10, 11166 - 42 STREET SE  CALGARY, AB  T2C 0J9  ",30,view,  403-470-1621
74,PRE-SCHOOL (FACILITY-BASED PROGRAM),ACTIVE KIDS ACADEMY,"1059 CHAPPELLE BLVD SW  EDMONTON, AB  T6W 2K7  ",28,view,  587-986-6170
75,DAY CARE (FACILITY-BASED PROGRAM),ACTIVE KIDS ACADEMY,"1059 CHAPPELLE BLVD SW  EDMONTON, AB  T6W 2K7  ",28,view,  587-986-6170
76,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ACTIVE KIDS ACADEMY,"1059 CHAPPELLE BLVD SW  EDMONTON, AB  T6W 2K7  ",28,view,  587-986-6170
77,PRE-SCHOOL (FACILITY-BASED PROGRAM),ACTIVE KIDS ACADEMY SHERWOOD PARK,"52 PEACOCK DRIVE  SHERWOOD PARK, AB  T8A 3N6  ",24,view,  780-982-6661
78,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ACTIVE KIDS ZONE BEFORE AND AFTER SCHOOL PROGRAM,"1820 - 1 AVENUE NORTH  AIRDRIE, AB  T4B 2E6  ",50,view,  403-681-1385
79,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ACTIVE START COUNTRY HILLS,"60 COUNTRY HILLS LANDING NW  CALGARY, AB  T3K 5P4  ",522,view,  825-222-8744
80,DAY CARE (FACILITY-BASED PROGRAM),ACTIVE START COUNTRY HILLS,"60 COUNTRY HILLS LANDING NW  CALGARY, AB  T3K 5P4  ",522,view,  825-222-8744
81,DAY CARE (FACILITY-BASED PROGRAM),ACTIVE START SAGE HILL,"271 SAGE VALLEY COMMON NW  CALGARY, AB  T3R 0H6  ",496,view,  403-275-1157
82,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ACTIVE START SAGE HILL,"271 SAGE VALLEY COMMON NW  CALGARY, AB  T3R 0H6  ",496,view,  403-275-1157
83,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURE TIME DAYCARE,"11306 107 AVE  EDMONTON, AB  T5H 0Y3  ",55,view,  780-990-9998
84,DAY CARE (FACILITY-BASED PROGRAM),ADVENTURE TIME DAYCARE,"11306 107 AVE  EDMONTON, AB  T5H 0Y3  ",55,view,  780-990-9998
85,DAY CARE (FACILITY-BASED PROGRAM),ADVENTURELAND DAYCARE & OSC,"5007 49 AVENUE  LEDUC, AB  T9E 6M6  ",79,view,  780-729-4815
86,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURELAND DAYCARE & OSC,"5007 49 AVENUE  LEDUC, AB  T9E 6M6  ",79,view,  780-729-4815
87,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURERS SCHOOL AGE CARE LTD. MSGR N. ANDERSON,"327 SANDARAC DRIVE NW  CALGARY, AB  T3K 4B2  ",40,view,  403-966-3049
88,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURERS SCHOOL AGE CARE LTD.: ROSEDALE,"901 - 11 AVENUE NW  CALGARY, AB  T2M 0C2  ",55,view,  403-681-3797
89,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURERS SCHOOL AGE CARE LTD: CAPITOL HILL,"2210 - 18 STREET NW  CALGARY, AB  T2M 3T4  ",70,view,  403-991-6842
90,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURERS SCHOOL AGE CARE LTD: CHINOOK PARK,"1312 - 75 AVENUE SW  CALGARY, AB  T2V 0S6  ",45,view,  403-612-2728
91,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURERS SCHOOL AGE CARE LTD: COLLINGWOOD,"3826 COLLINGWOOD DRIVE NW  CALGARY, AB  T2L 0R6  ",45,view,  403-690-9695
92,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURERS SCHOOL AGE CARE LTD: MOTHER MARY GREENE,"115 EDENWOLD DRIVE NW  CALGARY, AB  T3A 3S8  ",56,view,  403-975-9105
93,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURERS SCHOOL AGE CARE LTD: QUEEN ELIZABETH,"BLOCK 402, 512 - 18 STREET NW  CALGARY, AB  T2N 2G5  ",71,view,  403-606-1905
94,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURERS SCHOOL AGE CARE LTD: ST. BRIGID,"730 CITADEL WAY NW  CALGARY, AB  T3G 5S6  ",60,view,  403-680-1987
95,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURERS SCHOOL AGE CARE LTD: TRIWOOD COMMUNITY,"2244 CHICOUTIMI DRIVE NW  CALGARY, AB  T2L 0W1  ",48,view,  403-284-5457
96,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURES CHILD CARE 4,"95 BERMUDA ROAD NW  CALGARY, AB  T3K 2J6  ",45,view,  587-439-5500
97,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURES CHILD CARE 1,"9603 - 5 STREET SE  CALGARY, AB  T2J 1K4  ",70,view,  403-478-5544
98,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURES CHILD CARE 2,"255 SACKVILLE DRIVE SW  CALGARY, AB  T2W 0W7  ",40,view,  403-478-5509
99,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURES CHILD CARE 6,"950 - 6 STREET NE  CALGARY, AB  T2E 8M3  ",70,view,  403-354-5545
100,PRE-SCHOOL (FACILITY-BASED PROGRAM),AERIALS GYMNASTICS PLAYSCHOOL,"9 TRI LEISURE WAY  SPRUCE GROVE, AB  T7X 0T3  ",22,view,  780-962-5350
101,DAY CARE (FACILITY-BASED PROGRAM),AGAPE DAY CARE,"211069 TWP RD 9-0A  COUNTY OF LETHBRIDGE  LETHBRIDGE, AB  T1J 4K4  ",80,view,  403-320-2772
102,DAY CARE (FACILITY-BASED PROGRAM),AGAPELAND DAYCARE CENTRE LTD.,"BAY 13/15/16/17 CORINTHIA PLAZA  4302 50 STREET  LEDUC, AB  T9E 6J9  ",70,view,  780-986-1632
103,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),AGAPELAND DAYCARE CENTRE LTD.,"BAY 13/15/16/17 CORINTHIA PLAZA  4302 50 STREET  LEDUC, AB  T9E 6J9  ",70,view,  780-986-1632
104,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),AGES & STAGES EARLY LEARNING & CARE INC.,"5955 199 STREET HAMPTON'S LANDING  EDMONTON, AB  T6M 0M8  ",151,view,  780-481-3359
105,DAY CARE (FACILITY-BASED PROGRAM),AGES & STAGES EARLY LEARNING & CARE INC.,"5955 199 STREET HAMPTON'S LANDING  EDMONTON, AB  T6M 0M8  ",151,view,  780-481-3359
106,DAY CARE (FACILITY-BASED PROGRAM),AIRDRIE DAYCARE LTD. - NORTH,"272194 RANGE ROAD 293 NE  AIRDRIE, AB  T4A 2L5  ",85,view,  403-948-5524
107,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),AIRDRIE DAYCARE LTD. - NORTH,"272194 RANGE ROAD 293 NE  AIRDRIE, AB  T4A 2L5  ",85,view,  403-948-5524
108,DAY CARE (FACILITY-BASED PROGRAM),AIRDRIE DAYCARE LTD. - SOUTH,"1868 MEADOWBROOK DRIVE SE  AIRDRIE, AB  T4A 1V2  ",82,view,  403-948-5524
109,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),AIRDRIE DAYCARE LTD. - SOUTH,"1868 MEADOWBROOK DRIVE SE  AIRDRIE, AB  T4A 1V2  ",82,view,  403-948-5524
110,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),AIRDRIE DAYCARE SIERRA SPRINGS LIMITED,"161, 2974 MAIN STREET S  AIRDRIE, AB  T4B 3G4  ",137,view,  403-980-8909
111,DAY CARE (FACILITY-BASED PROGRAM),AIRDRIE DAYCARE SIERRA SPRINGS LIMITED,"161, 2974 MAIN STREET S  AIRDRIE, AB  T4B 3G4  ",137,view,  403-980-8909
112,PRE-SCHOOL (FACILITY-BASED PROGRAM),AIRDRIE LEARNING ACADEMY,"304, 800 VETERANS BLDV NW  AIRDRIE, AB  T4A 2G1  ",36,view,  825-733-1268
113,PRE-SCHOOL (FACILITY-BASED PROGRAM),AKIDEMY EARLY LEARNING AND CARE,"19, 8 WESTON DRIVE SW  CALGARY, AB  T3H 5P2  ",24,view,  403-354-2957
114,PRE-SCHOOL (FACILITY-BASED PROGRAM),AKIDEMY PRESCHOOL HILLHURST,"1966 KENSINGTON RD NW  CALGARY, AB  T2N 3R5  ",24,view,  403-389-5076
115,PRE-SCHOOL (FACILITY-BASED PROGRAM),AKIVA ACADEMY,"140 HADDON ROAD SW  CALGARY, AB  T2V 2Y3  ",43,view,  403-259-2808
116,DAY CARE (FACILITY-BASED PROGRAM),AKIVA ACADEMY,"140 HADDON ROAD SW  CALGARY, AB  T2V 2Y3  ",43,view,  403-259-2808
117,DAY CARE (FACILITY-BASED PROGRAM),AL RASHID CHILD CARE SOCIETY,"12654 151 AVE NW  EDMONTON, AB  T5X 0A1  ",100,view,  780-244-0452
118,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),AL RASHID CHILD CARE SOCIETY,"12654 151 AVE NW  EDMONTON, AB  T5X 0A1  ",100,view,  780-244-0452
119,PRE-SCHOOL (FACILITY-BASED PROGRAM),AL-AMAL PRESCHOOL,"4, 2611 - 37 AVENUE NE  CALGARY, AB  T1Y 5V7  ",36,view,  403-466-2524
120,DAY CARE (FACILITY-BASED PROGRAM),AL-AMAL PRESCHOOL,"4, 2611 - 37 AVENUE NE  CALGARY, AB  T1Y 5V7  ",36,view,  403-466-2524
121,PRE-SCHOOL (FACILITY-BASED PROGRAM),AL-SALAM PRESCHOOL,"6415 RANCHVIEW DRIVE NW  CALGARY, AB  T3G 1B5  ",20,view,  403-397-5543
122,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ALADDIN AFTER SCHOOL CARE,"303 CANTERBURY DRIVE SW  CALGARY, AB  T2W 1H7  ",25,view,  587-351-4848
123,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ALADDIN DAY CARE,"11807 ELBOW DRIVE SW  CALGARY, AB  T2W 1H1  ",88,view,  403-238-4747
124,DAY CARE (FACILITY-BASED PROGRAM),ALADDIN DAY CARE,"11807 ELBOW DRIVE SW  CALGARY, AB  T2W 1H1  ",88,view,  403-238-4747
125,DAY CARE (FACILITY-BASED PROGRAM),ALBERT PARK CHILD CARE CENTRE,"2839 - 12 AVENUE SE  CALGARY, AB  T2A 0G4  ",52,view,  403-248-8979
126,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ALBERT PARK CHILD CARE CENTRE,"2839 - 12 AVENUE SE  CALGARY, AB  T2A 0G4  ",52,view,  403-248-8979
127,PRE-SCHOOL (FACILITY-BASED PROGRAM),ALBERTA BEACH COMMUNITY PLAYSCHOOL,"31 4224 TWP RD 545  CAMP WARWA  DARWELL, AB  T0E 0A0  ",24,view,  780-903-1099
128,DAY CARE (FACILITY-BASED PROGRAM),ALDERGROVE COMMUNITY LEAGUE CHILD CARE,"8535 182 STREET  EDMONTON, AB  T5T 1X1  ",90,view,  780-481-9153
129,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ALDERGROVE COMMUNITY LEAGUE CHILD CARE,"8535 182 STREET  EDMONTON, AB  T5T 1X1  ",90,view,  780-481-9153
130,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ALEXANDER FERGUSON ELEMENTARY SCHOOL SOCIETY,"1704 - 26 STREET SW  CALGARY, AB  T3C 1K5  ",126,view,  403-777-8270
131,PRE-SCHOOL (FACILITY-BASED PROGRAM),ALIX PRESCHOOL,"4723 49TH STREET  ALIX MAC SCHOOL  ALIX, AB  T0C 0B0  ",30,view,  403-588-5199
132,DAY CARE (FACILITY-BASED PROGRAM),ALLARD DAYCARE CENTRE,"315 ALLARD BLVD SW  EDMONTON, AB  T6W 0J2  ",66,view,  780-752-5888
133,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ALLARD DAYCARE CENTRE,"315 ALLARD BLVD SW  EDMONTON, AB  T6W 0J2  ",66,view,  780-752-5888
134,DAY CARE (FACILITY-BASED PROGRAM),ALLEN GRAY CHILD DEVELOPMENT CENTRE DAY CARE,"5005 28 AVENUE  EDMONTON, AB  T6L 7G1  ",74,view,  780-469-9606
135,DAY CARE (FACILITY-BASED PROGRAM),ALMOND BRANCH SCHOOL,"1740 - 24 AVENUE SE  CALGARY, AB  T2G 1P9  ",36,view,  780-381-5025
136,OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ALOTTA FUN CHILDCARE OSC,"437 SADDLEBACK ROAD  EDMONTON, AB  T6J 4M6  ",40,view,  780-434-0141
