Type,Name,Location,Capacity,Phone
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - SILVERADO,"483 SILVERADO BLVD SW  CALGARY, AB  T2X 2E2",124,403-836-6090
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - ST. ALBERT,"225 PRESTWICK AVENUE SE  CALGARY, AB  T2Z 3X3",150,587-899-6090
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - ST. ISABELLA,"855 COPPERFIELD BLVD SE  CALGARY, AB  T2Z 4W8",90,403-836-6090
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - ST. MARGUERITE,"1100 NEW BRIGHTON DRIVE SE  CALGARY, AB  T2Z 0W1",60,403-836-6090
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - ST. WILLIAM,"11020 FAIRMOUNT DRIVE SE  CALGARY, AB  T2J 0T1",89,403-836-6990
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS-NEW BRIGHTON,"30 NEW BRIGHTON DRIVE SE  CALGARY, AB  T2Z 4B2",182,403-836-6090
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS CHILDCARE - 130TH,"515, 4916 - 130 AVENUE SE  CALGARY, AB  T2Z 0G4",105,403-836-6090
DAY CARE (FACILITY-BASED PROGRAM),1ST CLASS CHILDCARE - 130TH,"515, 4916 - 130 AVENUE SE  CALGARY, AB  T2Z 0G4",105,403-836-6090
DAY CARE (FACILITY-BASED PROGRAM),1ST CLASS CHILDCARE - SETON,"205, 3815 FRONT STREET SE  CALGARY, AB  T3M 2J6",116,403-899-6090
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS CHILDCARE - SETON,"205, 3815 FRONT STREET SE  CALGARY, AB  T3M 2J6",116,403-899-6090
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS CHILDCARE - SHAWNESSY,"504, 303 SHAWVILLE BLVD SE  CALGARY, AB  T2Y 3W6",119,403-500-0490
DAY CARE (FACILITY-BASED PROGRAM),1ST CLASS CHILDCARE - SHAWNESSY,"504, 303 SHAWVILLE BLVD SE  CALGARY, AB  T2Y 3W6",119,403-500-0490
PRE-SCHOOL (FACILITY-BASED PROGRAM),1ST CLASS CHILDCARE - SHAWNESSY,"504, 303 SHAWVILLE BLVD SE  CALGARY, AB  T2Y 3W6",119,403-500-0490
DAY CARE (FACILITY-BASED PROGRAM),2000 DAYS PRE-KINDERGARTEN,"5728 - 1 STREET SW  CALGARY, AB  T2H 0E2",79,403-319-2332
DAY CARE (FACILITY-BASED PROGRAM),A & D CHILD CARE CENTRE,"101 957 FIR STREET  SHERWOOD PARK, AB  T8A 4N6",110,780-467-6363
PRE-SCHOOL (FACILITY-BASED PROGRAM),A & D CHILD CARE CENTRE,"101 957 FIR STREET  SHERWOOD PARK, AB  T8A 4N6",110,780-467-6363
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A & D CHILD CARE CENTRE,"101 957 FIR STREET  SHERWOOD PARK, AB  T8A 4N6",110,780-467-6363
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A B C DAY CARE CENTRE,"13586 FORT ROAD  EDMONTON, AB  T5A 1C5",52,780-476-2596
DAY CARE (FACILITY-BASED PROGRAM),A B C DAY CARE CENTRE,"13586 FORT ROAD  EDMONTON, AB  T5A 1C5",52,780-476-2596
DAY CARE (FACILITY-BASED PROGRAM),A BRIGHT BEGINNING CHILD CARE CENTRE,"10226 108 AVENUE  GRANDE PRAIRIE, AB  T8V 1P5",103,780-532-9170
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A BRIGHT BEGINNING CHILD CARE CENTRE,"10226 108 AVENUE  GRANDE PRAIRIE, AB  T8V 1P5",103,780-532-9170
PRE-SCHOOL (FACILITY-BASED PROGRAM),A CHILD FIRST PRESCHOOL INC.,"21 HIGH STREET SE  CALGARY, AB  T2Z 3T7",24,403-257-7966
PRE-SCHOOL (FACILITY-BASED PROGRAM),A CHILD FIRST PRESCHOOL INC.,"214, 10 CHAPARRAL DRIVE SE  CALGARY, AB  T2X 3R7",24,403-201-4665
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A CHILD FIRST PRESCHOOL INC. - EVERGREEN,"322 EVERRIDGE DRIVE SW  CALGARY, AB  T2Y 0L5",45,403-826-4333
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A CHILD FIRST PRESCHOOL INC. - ST. SEBASTIAN,"65 CHAPARRAL DRIVE SE  CALGARY, AB  T2X 0E6",60,403-689-7944
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A CHILD FIRST PRESCHOOL INC. -ST. GIANNA,"800 AUBURN BAY BLVD SE  CALGARY, AB  T3M 0H7",100,403-470-2309
DAY CARE (FACILITY-BASED PROGRAM),A CHILD'S GARDEN PRESCHOOL,"277 STRATHCONA DRIVE SW  CALGARY, AB  T3H 2A4",40,403-217-5658
DAY CARE (FACILITY-BASED PROGRAM),A CHILD'S SECOND LOOK,"24 MT BURKE BLVD WEST  UNIT #50  LETHBRIDGE, AB  T1K 7X9",47,403-381-2555
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A CHILD'S SECOND LOOK,"24 MT BURKE BLVD WEST  UNIT #50  LETHBRIDGE, AB  T1K 7X9",47,403-381-2555
DAY CARE (FACILITY-BASED PROGRAM),A CHILD'S STORY - TERWILLEGAR DAY CARE,"201 1715 TOWNE CENTRE BLVD  EDMONTON, AB  T6R 0T7",139,780-705-4744
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A CHILD'S STORY - TERWILLEGAR DAY CARE,"201 1715 TOWNE CENTRE BLVD  EDMONTON, AB  T6R 0T7",139,780-705-4744
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A CHILD'S VIEW LEARNING CENTRE LTD.,"6107 - 4 AVENUE NE  CALGARY, AB  T2A 5A1",159,403-235-6330
DAY CARE (FACILITY-BASED PROGRAM),A CHILD'S VIEW LEARNING CENTRE LTD.,"6107 - 4 AVENUE NE  CALGARY, AB  T2A 5A1",159,403-235-6330
PRE-SCHOOL (FACILITY-BASED PROGRAM),A FAIRYTALE BEGINNING,"515 10470 98 AVE  FORT SASKATCHEWAN, AB  T8L 0V6",48,780-912-1167
PRE-SCHOOL (FACILITY-BASED PROGRAM),A FAIRYTALE BEGINNING OLA,"ROOM 106, 9622 SHERRIDAN DRIVE  FORT SASKATCHEWAN, AB  T8L 1W7",15,780-912-1167
PRE-SCHOOL (FACILITY-BASED PROGRAM),A FAIRYTALE BEGINNING ST. JOHN,"ROOM 125, 9526 89 STREET  FORT SASKATCHEWAN, AB  T8L 2X7",15,780-912-1167
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A NANA'S LOVE DAYCARE,"570 ST. ALBERT TRAIL  ST. ALBERT, AB  T8N 5Z1",126,780-470-4001
DAY CARE (FACILITY-BASED PROGRAM),A NANA'S LOVE DAYCARE,"570 ST. ALBERT TRAIL  ST. ALBERT, AB  T8N 5Z1",126,780-470-4001
DAY CARE (FACILITY-BASED PROGRAM),A PLACE TO GROW EARLY LEARNING AND CARE,"2407 90B STREET  EDMONTON, AB  T6X 0P4",113,587-463-3888
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A PLACE TO GROW EARLY LEARNING AND CARE,"2407 90B STREET  EDMONTON, AB  T6X 0P4",113,587-463-3888
PRE-SCHOOL (FACILITY-BASED PROGRAM),A STEP AHEAD PRESCHOOL,"4A RAVEN DRIVE  SHERWOOD PARK, AB  T8A 0C3",24,780-237-6826
PRE-SCHOOL (FACILITY-BASED PROGRAM),A TO Z PRE-SCHOOL,"404 - 4 AVENUE NORTH  COCHRANE, AB  T4C 1E4",18,403-803-7106
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A.L. HORTON AFTER SCHOOL CARE PROGRAM,"5037-48 AVENUE  VEGREVILLE, AB  T9C 1L8",60,780-632-3113
PRE-SCHOOL (FACILITY-BASED PROGRAM),A.R.C.-CANDORA CAC,"3006 119 AVENUE  EDMONTON, AB  T5W 4T4",20,780-479-5895
DAY CARE (FACILITY-BASED PROGRAM),A2Z KIDZ ED.,"8003 FAIRMOUNT DRIVE SE  CALGARY, AB  T2H 0Y2",45,403-258-1889
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A2Z KIDZ ED.,"8003 FAIRMOUNT DRIVE SE  CALGARY, AB  T2H 0Y2",45,403-258-1889
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A2Z KIDZ ED. (2),"416 - 83 AVENUE SE  CALGARY, AB  T2H 1N3",42,403-252-2288
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ABC CHILD DEVELOPMENT CENTRE,"8B 11411 40 AVENUE  EDMONTON, AB  T6J 0R4",149,780-434-9261
DAY CARE (FACILITY-BASED PROGRAM),ABC CHILD DEVELOPMENT CENTRE,"8B 11411 40 AVENUE  EDMONTON, AB  T6J 0R4",149,780-434-9261
DAY CARE (FACILITY-BASED PROGRAM),ABC PROGRAM,"16520 - 24 STREET SW  CALGARY, AB  T2Y 4W2",114,403-254-4083
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ABC PROGRAM,"16520 - 24 STREET SW  CALGARY, AB  T2Y 4W2",114,403-254-4083
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ACA PRESCHOOL AND OUT OF SCHOOL CARE,"77 GATEWAY DRIVE NE  AIRDRIE, AB  T4B 0J6",20,404-948-5100
PRE-SCHOOL (FACILITY-BASED PROGRAM),ACA PRESCHOOL AND OUT OF SCHOOL CARE,"77 GATEWAY DRIVE NE  AIRDRIE, AB  T4B 0J6",20,404-948-5100
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ACCI - DAYCARE,"134, 85 RAILWAY AVENUE SW  AIRDRIE, AB  T4B 3W9",56,587-254-0233
DAY CARE (FACILITY-BASED PROGRAM),ACCI - DAYCARE,"134, 85 RAILWAY AVENUE SW  AIRDRIE, AB  T4B 3W9",56,587-254-0233
DAY CARE (FACILITY-BASED PROGRAM),ACHIEVE DAYCARE CENTRE,"8991 BONAVENTURE DRIVE SE  CALGARY, AB  T2H 2Z5",40,403-774-4064
DAY CARE (FACILITY-BASED PROGRAM),ACME DAY CARE - CURIOSITY CORNER,"323 CLARKE STREET  ACME, AB  T0M 0A0",34,403-546-0028
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ACME DAY CARE - CURIOSITY CORNER,"323 CLARKE STREET  ACME, AB  T0M 0A0",34,403-546-0028
PRE-SCHOOL (FACILITY-BASED PROGRAM),ACME PLAYSCHOOL,"620 WALSH AVE  ACME, AB  T0M 0A0",24,403-650-8793
PRE-SCHOOL (FACILITY-BASED PROGRAM),ACTIVE EXPLORERS PRESCHOOL,"10, 11166 - 42 STREET SE  CALGARY, AB  T2C 0J9",30,403-470-1621
PRE-SCHOOL (FACILITY-BASED PROGRAM),ACTIVE KIDS ACADEMY,"1059 CHAPPELLE BLVD SW  EDMONTON, AB  T6W 2K7",28,587-986-6170
DAY CARE (FACILITY-BASED PROGRAM),ACTIVE KIDS ACADEMY,"1059 CHAPPELLE BLVD SW  EDMONTON, AB  T6W 2K7",28,587-986-6170
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ACTIVE KIDS ACADEMY,"1059 CHAPPELLE BLVD SW  EDMONTON, AB  T6W 2K7",28,587-986-6170
PRE-SCHOOL (FACILITY-BASED PROGRAM),ACTIVE KIDS ACADEMY SHERWOOD PARK,"52 PEACOCK DRIVE  SHERWOOD PARK, AB  T8A 3N6",24,780-982-6661
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ACTIVE KIDS ZONE BEFORE AND AFTER SCHOOL PROGRAM,"1820 - 1 AVENUE NORTH  AIRDRIE, AB  T4B 2E6",50,403-681-1385
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ACTIVE START COUNTRY HILLS,"60 COUNTRY HILLS LANDING NW  CALGARY, AB  T3K 5P4",522,825-222-8744
DAY CARE (FACILITY-BASED PROGRAM),ACTIVE START COUNTRY HILLS,"60 COUNTRY HILLS LANDING NW  CALGARY, AB  T3K 5P4",522,825-222-8744
DAY CARE (FACILITY-BASED PROGRAM),ACTIVE START SAGE HILL,"271 SAGE VALLEY COMMON NW  CALGARY, AB  T3R 0H6",496,403-275-1157
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ACTIVE START SAGE HILL,"271 SAGE VALLEY COMMON NW  CALGARY, AB  T3R 0H6",496,403-275-1157
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURE TIME DAYCARE,"11306 107 AVE  EDMONTON, AB  T5H 0Y3",55,780-990-9998
DAY CARE (FACILITY-BASED PROGRAM),ADVENTURE TIME DAYCARE,"11306 107 AVE  EDMONTON, AB  T5H 0Y3",55,780-990-9998
DAY CARE (FACILITY-BASED PROGRAM),ADVENTURELAND DAYCARE & OSC,"5007 49 AVENUE  LEDUC, AB  T9E 6M6",79,780-729-4815
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURELAND DAYCARE & OSC,"5007 49 AVENUE  LEDUC, AB  T9E 6M6",79,780-729-4815
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURERS SCHOOL AGE CARE LTD. MSGR N. ANDERSON,"327 SANDARAC DRIVE NW  CALGARY, AB  T3K 4B2",40,403-966-3049
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURERS SCHOOL AGE CARE LTD.: ROSEDALE,"901 - 11 AVENUE NW  CALGARY, AB  T2M 0C2",55,403-681-3797
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURERS SCHOOL AGE CARE LTD: CAPITOL HILL,"2210 - 18 STREET NW  CALGARY, AB  T2M 3T4",70,403-991-6842
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURERS SCHOOL AGE CARE LTD: CHINOOK PARK,"1312 - 75 AVENUE SW  CALGARY, AB  T2V 0S6",45,403-612-2728
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURERS SCHOOL AGE CARE LTD: COLLINGWOOD,"3826 COLLINGWOOD DRIVE NW  CALGARY, AB  T2L 0R6",45,403-690-9695
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURERS SCHOOL AGE CARE LTD: MOTHER MARY GREENE,"115 EDENWOLD DRIVE NW  CALGARY, AB  T3A 3S8",56,403-975-9105
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURERS SCHOOL AGE CARE LTD: QUEEN ELIZABETH,"BLOCK 402, 512 - 18 STREET NW  CALGARY, AB  T2N 2G5",71,403-606-1905
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURERS SCHOOL AGE CARE LTD: ST. BRIGID,"730 CITADEL WAY NW  CALGARY, AB  T3G 5S6",60,403-680-1987
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURERS SCHOOL AGE CARE LTD: TRIWOOD COMMUNITY,"2244 CHICOUTIMI DRIVE NW  CALGARY, AB  T2L 0W1",48,403-284-5457
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURES CHILD CARE 4,"95 BERMUDA ROAD NW  CALGARY, AB  T3K 2J6",45,587-439-5500
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURES CHILD CARE 1,"9603 - 5 STREET SE  CALGARY, AB  T2J 1K4",70,403-478-5544
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURES CHILD CARE 2,"255 SACKVILLE DRIVE SW  CALGARY, AB  T2W 0W7",40,403-478-5509
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURES CHILD CARE 6,"950 - 6 STREET NE  CALGARY, AB  T2E 8M3",70,403-354-5545
PRE-SCHOOL (FACILITY-BASED PROGRAM),AERIALS GYMNASTICS PLAYSCHOOL,"9 TRI LEISURE WAY  SPRUCE GROVE, AB  T7X 0T3",22,780-962-5350
DAY CARE (FACILITY-BASED PROGRAM),AGAPE DAY CARE,"211069 TWP RD 9-0A  COUNTY OF LETHBRIDGE  LETHBRIDGE, AB  T1J 4K4",80,403-320-2772
DAY CARE (FACILITY-BASED PROGRAM),AGAPELAND DAYCARE CENTRE LTD.,"BAY 13/15/16/17 CORINTHIA PLAZA  4302 50 STREET  LEDUC, AB  T9E 6J9",70,780-986-1632
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),AGAPELAND DAYCARE CENTRE LTD.,"BAY 13/15/16/17 CORINTHIA PLAZA  4302 50 STREET  LEDUC, AB  T9E 6J9",70,780-986-1632
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),AGES & STAGES EARLY LEARNING & CARE INC.,"5955 199 STREET HAMPTON'S LANDING  EDMONTON, AB  T6M 0M8",151,780-481-3359
DAY CARE (FACILITY-BASED PROGRAM),AGES & STAGES EARLY LEARNING & CARE INC.,"5955 199 STREET HAMPTON'S LANDING  EDMONTON, AB  T6M 0M8",151,780-481-3359
DAY CARE (FACILITY-BASED PROGRAM),AIRDRIE DAYCARE LTD. - NORTH,"272194 RANGE ROAD 293 NE  AIRDRIE, AB  T4A 2L5",85,403-948-5524
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),AIRDRIE DAYCARE LTD. - NORTH,"272194 RANGE ROAD 293 NE  AIRDRIE, AB  T4A 2L5",85,403-948-5524
DAY CARE (FACILITY-BASED PROGRAM),AIRDRIE DAYCARE LTD. - SOUTH,"1868 MEADOWBROOK DRIVE SE  AIRDRIE, AB  T4A 1V2",82,403-948-5524
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),AIRDRIE DAYCARE LTD. - SOUTH,"1868 MEADOWBROOK DRIVE SE  AIRDRIE, AB  T4A 1V2",82,403-948-5524
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),AIRDRIE DAYCARE SIERRA SPRINGS LIMITED,"161, 2974 MAIN STREET S  AIRDRIE, AB  T4B 3G4",137,403-980-8909
DAY CARE (FACILITY-BASED PROGRAM),AIRDRIE DAYCARE SIERRA SPRINGS LIMITED,"161, 2974 MAIN STREET S  AIRDRIE, AB  T4B 3G4",137,403-980-8909
PRE-SCHOOL (FACILITY-BASED PROGRAM),AIRDRIE LEARNING ACADEMY,"304, 800 VETERANS BLDV NW  AIRDRIE, AB  T4A 2G1",36,825-733-1268
PRE-SCHOOL (FACILITY-BASED PROGRAM),AKIDEMY EARLY LEARNING AND CARE,"19, 8 WESTON DRIVE SW  CALGARY, AB  T3H 5P2",24,403-354-2957
PRE-SCHOOL (FACILITY-BASED PROGRAM),AKIDEMY PRESCHOOL HILLHURST,"1966 KENSINGTON RD NW  CALGARY, AB  T2N 3R5",24,403-389-5076
PRE-SCHOOL (FACILITY-BASED PROGRAM),AKIVA ACADEMY,"140 HADDON ROAD SW  CALGARY, AB  T2V 2Y3",43,403-259-2808
DAY CARE (FACILITY-BASED PROGRAM),AKIVA ACADEMY,"140 HADDON ROAD SW  CALGARY, AB  T2V 2Y3",43,403-259-2808
DAY CARE (FACILITY-BASED PROGRAM),AL RASHID CHILD CARE SOCIETY,"12654 151 AVE NW  EDMONTON, AB  T5X 0A1",100,780-244-0452
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),AL RASHID CHILD CARE SOCIETY,"12654 151 AVE NW  EDMONTON, AB  T5X 0A1",100,780-244-0452
PRE-SCHOOL (FACILITY-BASED PROGRAM),AL-AMAL PRESCHOOL,"4, 2611 - 37 AVENUE NE  CALGARY, AB  T1Y 5V7",36,403-466-2524
DAY CARE (FACILITY-BASED PROGRAM),AL-AMAL PRESCHOOL,"4, 2611 - 37 AVENUE NE  CALGARY, AB  T1Y 5V7",36,403-466-2524
PRE-SCHOOL (FACILITY-BASED PROGRAM),AL-SALAM PRESCHOOL,"6415 RANCHVIEW DRIVE NW  CALGARY, AB  T3G 1B5",20,403-397-5543
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ALADDIN AFTER SCHOOL CARE,"303 CANTERBURY DRIVE SW  CALGARY, AB  T2W 1H7",25,587-351-4848
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ALADDIN DAY CARE,"11807 ELBOW DRIVE SW  CALGARY, AB  T2W 1H1",88,403-238-4747
DAY CARE (FACILITY-BASED PROGRAM),ALADDIN DAY CARE,"11807 ELBOW DRIVE SW  CALGARY, AB  T2W 1H1",88,403-238-4747
DAY CARE (FACILITY-BASED PROGRAM),ALBERT PARK CHILD CARE CENTRE,"2839 - 12 AVENUE SE  CALGARY, AB  T2A 0G4",52,403-248-8979
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ALBERT PARK CHILD CARE CENTRE,"2839 - 12 AVENUE SE  CALGARY, AB  T2A 0G4",52,403-248-8979
PRE-SCHOOL (FACILITY-BASED PROGRAM),ALBERTA BEACH COMMUNITY PLAYSCHOOL,"31 4224 TWP RD 545  CAMP WARWA  DARWELL, AB  T0E 0A0",24,780-903-1099
DAY CARE (FACILITY-BASED PROGRAM),ALDERGROVE COMMUNITY LEAGUE CHILD CARE,"8535 182 STREET  EDMONTON, AB  T5T 1X1",90,780-481-9153
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ALDERGROVE COMMUNITY LEAGUE CHILD CARE,"8535 182 STREET  EDMONTON, AB  T5T 1X1",90,780-481-9153
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ALEXANDER FERGUSON ELEMENTARY SCHOOL SOCIETY,"1704 - 26 STREET SW  CALGARY, AB  T3C 1K5",126,403-777-8270
PRE-SCHOOL (FACILITY-BASED PROGRAM),ALIX PRESCHOOL,"4723 49TH STREET  ALIX MAC SCHOOL  ALIX, AB  T0C 0B0",30,403-588-5199
DAY CARE (FACILITY-BASED PROGRAM),ALLARD DAYCARE CENTRE,"315 ALLARD BLVD SW  EDMONTON, AB  T6W 0J2",66,780-752-5888
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ALLARD DAYCARE CENTRE,"315 ALLARD BLVD SW  EDMONTON, AB  T6W 0J2",66,780-752-5888
DAY CARE (FACILITY-BASED PROGRAM),ALLEN GRAY CHILD DEVELOPMENT CENTRE DAY CARE,"5005 28 AVENUE  EDMONTON, AB  T6L 7G1",74,780-469-9606
DAY CARE (FACILITY-BASED PROGRAM),ALMOND BRANCH SCHOOL,"1740 - 24 AVENUE SE  CALGARY, AB  T2G 1P9",36,780-381-5025
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ALOTTA FUN CHILDCARE OSC,"437 SADDLEBACK ROAD  EDMONTON, AB  T6J 4M6",40,780-434-0141
DAY CARE (FACILITY-BASED PROGRAM),ALPHABEEZ CHILDCARE CENTRE INC.,"SUITE 200, 815 8TH AVE SW  CALGARY, AB  T2P 3P2",40,587-349-4449
PRE-SCHOOL (FACILITY-BASED PROGRAM),ALPHABEEZ CHILDCARE CENTRE INC.,"SUITE 200, 815 8TH AVE SW  CALGARY, AB  T2P 3P2",40,587-349-4449
DAY CARE (FACILITY-BASED PROGRAM),ALPHABET DAYCARE,"150 6005 67A STREET  RED DEER, AB  T4P 2Z9",106,403-406-6060
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ALPHABET DAYCARE,"150 6005 67A STREET  RED DEER, AB  T4P 2Z9",106,403-406-6060
DAY CARE (FACILITY-BASED PROGRAM),ALPINE MONTESSORI CHILDREN'S CENTRE,"3140 - 41 STREET SW  CALGARY, AB  T3E 3L1",94,403-249-9474
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ALPINE MONTESSORI CHILDREN'S CENTRE,"3140 - 41 STREET SW  CALGARY, AB  T3E 3L1",94,403-249-9474
DAY CARE (FACILITY-BASED PROGRAM),ALTA MONTESSORI DAYCARE,"943/945 MISTATIM LINK NW  EDMONTON, AB  T6V 1H5",97,780-266-9256
DAY CARE (FACILITY-BASED PROGRAM),ALTA MONTESSORI DAYCARE,"101 14707 77 STREET  EDMONTON, AB  T5C 1E7",51,780-473-4440
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ALTA MONTESSORI DAYCARE,"101 14707 77 STREET  EDMONTON, AB  T5C 1E7",51,780-473-4440
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ALTA MONTESSORI DAYCARE,"943/945 MISTATIM LINK NW  EDMONTON, AB  T6V 1H5",97,780-266-9256
DAY CARE (FACILITY-BASED PROGRAM),ALTADORE DAYCARE,"1820 - 40 AVENUE SW  CALGARY, AB  T2T 5P3",55,403-287-1727
