Type,Name,Location,Capacity,Phone
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - ST. ALBERT,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",150,587-899-6090
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - ST. ISABELLA,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",90,403-836-6090
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - ST. MARGUERITE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",60,403-836-6090
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS - ST. WILLIAM,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",89,403-836-6990
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS AFTER CLASS-NEW BRIGHTON,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",182,403-836-6090
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS CHILDCARE - 130TH,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",105,403-836-6090
DAY CARE (FACILITY-BASED PROGRAM),1ST CLASS CHILDCARE - 130TH,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",105,403-836-6090
DAY CARE (FACILITY-BASED PROGRAM),1ST CLASS CHILDCARE - SETON,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",116,403-899-6090
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS CHILDCARE - SETON,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",116,403-899-6090
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),1ST CLASS CHILDCARE - SHAWNESSY,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",119,403-500-0490
DAY CARE (FACILITY-BASED PROGRAM),1ST CLASS CHILDCARE - SHAWNESSY,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",119,403-500-0490
PRE-SCHOOL (FACILITY-BASED PROGRAM),1ST CLASS CHILDCARE - SHAWNESSY,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",119,403-500-0490
DAY CARE (FACILITY-BASED PROGRAM),2000 DAYS PRE-KINDERGARTEN,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",79,403-319-2332
DAY CARE (FACILITY-BASED PROGRAM),A & D CHILD CARE CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",110,780-467-6363
PRE-SCHOOL (FACILITY-BASED PROGRAM),A & D CHILD CARE CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",110,780-467-6363
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A & D CHILD CARE CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",110,780-467-6363
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A B C DAY CARE CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",52,780-476-2596
DAY CARE (FACILITY-BASED PROGRAM),A B C DAY CARE CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",52,780-476-2596
DAY CARE (FACILITY-BASED PROGRAM),A BRIGHT BEGINNING CHILD CARE CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",103,780-532-9170
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A BRIGHT BEGINNING CHILD CARE CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",103,780-532-9170
PRE-SCHOOL (FACILITY-BASED PROGRAM),A CHILD FIRST PRESCHOOL INC.,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",24,403-257-7966
PRE-SCHOOL (FACILITY-BASED PROGRAM),A CHILD FIRST PRESCHOOL INC.,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",24,403-201-4665
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A CHILD FIRST PRESCHOOL INC. - EVERGREEN,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",45,403-826-4333
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A CHILD FIRST PRESCHOOL INC. - ST. SEBASTIAN,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",60,403-689-7944
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A CHILD FIRST PRESCHOOL INC. -ST. GIANNA,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",100,403-470-2309
DAY CARE (FACILITY-BASED PROGRAM),A CHILD'S GARDEN PRESCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",40,403-217-5658
DAY CARE (FACILITY-BASED PROGRAM),A CHILD'S SECOND LOOK,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",47,403-381-2555
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A CHILD'S SECOND LOOK,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",47,403-381-2555
DAY CARE (FACILITY-BASED PROGRAM),A CHILD'S STORY - TERWILLEGAR DAY CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",139,780-705-4744
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A CHILD'S STORY - TERWILLEGAR DAY CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",139,780-705-4744
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A CHILD'S VIEW LEARNING CENTRE LTD.,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",159,403-235-6330
DAY CARE (FACILITY-BASED PROGRAM),A CHILD'S VIEW LEARNING CENTRE LTD.,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",159,403-235-6330
PRE-SCHOOL (FACILITY-BASED PROGRAM),A FAIRYTALE BEGINNING,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",48,780-912-1167
PRE-SCHOOL (FACILITY-BASED PROGRAM),A FAIRYTALE BEGINNING OLA,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",15,780-912-1167
PRE-SCHOOL (FACILITY-BASED PROGRAM),A FAIRYTALE BEGINNING ST. JOHN,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",15,780-912-1167
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A NANA'S LOVE DAYCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",126,780-470-4001
DAY CARE (FACILITY-BASED PROGRAM),A NANA'S LOVE DAYCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",126,780-470-4001
DAY CARE (FACILITY-BASED PROGRAM),A PLACE TO GROW EARLY LEARNING AND CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",113,587-463-3888
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A PLACE TO GROW EARLY LEARNING AND CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",113,587-463-3888
PRE-SCHOOL (FACILITY-BASED PROGRAM),A STEP AHEAD PRESCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",24,780-237-6826
PRE-SCHOOL (FACILITY-BASED PROGRAM),A TO Z PRE-SCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",18,403-803-7106
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A.L. HORTON AFTER SCHOOL CARE PROGRAM,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",60,780-632-3113
PRE-SCHOOL (FACILITY-BASED PROGRAM),A.R.C.-CANDORA CAC,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",20,780-479-5895
DAY CARE (FACILITY-BASED PROGRAM),A2Z KIDZ ED.,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",45,403-258-1889
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A2Z KIDZ ED.,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",45,403-258-1889
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),A2Z KIDZ ED. (2),"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",42,403-252-2288
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ABC CHILD DEVELOPMENT CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",149,780-434-9261
DAY CARE (FACILITY-BASED PROGRAM),ABC CHILD DEVELOPMENT CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",149,780-434-9261
DAY CARE (FACILITY-BASED PROGRAM),ABC PROGRAM,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",114,403-254-4083
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ABC PROGRAM,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",114,403-254-4083
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ACA PRESCHOOL AND OUT OF SCHOOL CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",20,404-948-5100
PRE-SCHOOL (FACILITY-BASED PROGRAM),ACA PRESCHOOL AND OUT OF SCHOOL CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",20,404-948-5100
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ACCI - DAYCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",56,587-254-0233
DAY CARE (FACILITY-BASED PROGRAM),ACCI - DAYCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",56,587-254-0233
DAY CARE (FACILITY-BASED PROGRAM),ACHIEVE DAYCARE CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",40,403-774-4064
DAY CARE (FACILITY-BASED PROGRAM),ACME DAY CARE - CURIOSITY CORNER,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",34,403-546-0028
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ACME DAY CARE - CURIOSITY CORNER,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",34,403-546-0028
PRE-SCHOOL (FACILITY-BASED PROGRAM),ACME PLAYSCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",24,403-650-8793
PRE-SCHOOL (FACILITY-BASED PROGRAM),ACTIVE EXPLORERS PRESCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",30,403-470-1621
PRE-SCHOOL (FACILITY-BASED PROGRAM),ACTIVE KIDS ACADEMY,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",28,587-986-6170
DAY CARE (FACILITY-BASED PROGRAM),ACTIVE KIDS ACADEMY,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",28,587-986-6170
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ACTIVE KIDS ACADEMY,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",28,587-986-6170
PRE-SCHOOL (FACILITY-BASED PROGRAM),ACTIVE KIDS ACADEMY SHERWOOD PARK,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",24,780-982-6661
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ACTIVE KIDS ZONE BEFORE AND AFTER SCHOOL PROGRAM,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",50,403-681-1385
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ACTIVE START COUNTRY HILLS,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",522,825-222-8744
DAY CARE (FACILITY-BASED PROGRAM),ACTIVE START COUNTRY HILLS,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",522,825-222-8744
DAY CARE (FACILITY-BASED PROGRAM),ACTIVE START SAGE HILL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",496,403-275-1157
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ACTIVE START SAGE HILL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",496,403-275-1157
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURE TIME DAYCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",55,780-990-9998
DAY CARE (FACILITY-BASED PROGRAM),ADVENTURE TIME DAYCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",55,780-990-9998
DAY CARE (FACILITY-BASED PROGRAM),ADVENTURELAND DAYCARE & OSC,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",79,780-729-4815
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURELAND DAYCARE & OSC,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",79,780-729-4815
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURERS SCHOOL AGE CARE LTD. MSGR N. ANDERSON,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",40,403-966-3049
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURERS SCHOOL AGE CARE LTD.: ROSEDALE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",55,403-681-3797
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURERS SCHOOL AGE CARE LTD: CAPITOL HILL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",70,403-991-6842
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURERS SCHOOL AGE CARE LTD: CHINOOK PARK,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",45,403-612-2728
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURERS SCHOOL AGE CARE LTD: COLLINGWOOD,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",45,403-690-9695
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURERS SCHOOL AGE CARE LTD: MOTHER MARY GREENE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",56,403-975-9105
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURERS SCHOOL AGE CARE LTD: QUEEN ELIZABETH,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",71,403-606-1905
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURERS SCHOOL AGE CARE LTD: ST. BRIGID,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",60,403-680-1987
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURERS SCHOOL AGE CARE LTD: TRIWOOD COMMUNITY,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",48,403-284-5457
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURES CHILD CARE 4,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",45,587-439-5500
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURES CHILD CARE 1,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",70,403-478-5544
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURES CHILD CARE 2,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",40,403-478-5509
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ADVENTURES CHILD CARE 6,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",70,403-354-5545
PRE-SCHOOL (FACILITY-BASED PROGRAM),AERIALS GYMNASTICS PLAYSCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",22,780-962-5350
DAY CARE (FACILITY-BASED PROGRAM),AGAPE DAY CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",80,403-320-2772
DAY CARE (FACILITY-BASED PROGRAM),AGAPELAND DAYCARE CENTRE LTD.,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",70,780-986-1632
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),AGAPELAND DAYCARE CENTRE LTD.,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",70,780-986-1632
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),AGES & STAGES EARLY LEARNING & CARE INC.,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",151,780-481-3359
DAY CARE (FACILITY-BASED PROGRAM),AGES & STAGES EARLY LEARNING & CARE INC.,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",151,780-481-3359
DAY CARE (FACILITY-BASED PROGRAM),AIRDRIE DAYCARE LTD. - NORTH,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",85,403-948-5524
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),AIRDRIE DAYCARE LTD. - NORTH,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",85,403-948-5524
DAY CARE (FACILITY-BASED PROGRAM),AIRDRIE DAYCARE LTD. - SOUTH,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",82,403-948-5524
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),AIRDRIE DAYCARE LTD. - SOUTH,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",82,403-948-5524
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),AIRDRIE DAYCARE SIERRA SPRINGS LIMITED,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",137,403-980-8909
DAY CARE (FACILITY-BASED PROGRAM),AIRDRIE DAYCARE SIERRA SPRINGS LIMITED,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",137,403-980-8909
PRE-SCHOOL (FACILITY-BASED PROGRAM),AIRDRIE LEARNING ACADEMY,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",36,825-733-1268
PRE-SCHOOL (FACILITY-BASED PROGRAM),AKIDEMY EARLY LEARNING AND CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",24,403-354-2957
PRE-SCHOOL (FACILITY-BASED PROGRAM),AKIDEMY PRESCHOOL HILLHURST,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",24,403-389-5076
PRE-SCHOOL (FACILITY-BASED PROGRAM),AKIVA ACADEMY,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",43,403-259-2808
DAY CARE (FACILITY-BASED PROGRAM),AKIVA ACADEMY,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",43,403-259-2808
DAY CARE (FACILITY-BASED PROGRAM),AL RASHID CHILD CARE SOCIETY,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",100,780-244-0452
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),AL RASHID CHILD CARE SOCIETY,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",100,780-244-0452
PRE-SCHOOL (FACILITY-BASED PROGRAM),AL-AMAL PRESCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",36,403-466-2524
DAY CARE (FACILITY-BASED PROGRAM),AL-AMAL PRESCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",36,403-466-2524
PRE-SCHOOL (FACILITY-BASED PROGRAM),AL-SALAM PRESCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",20,403-397-5543
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ALADDIN AFTER SCHOOL CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",25,587-351-4848
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ALADDIN DAY CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",88,403-238-4747
DAY CARE (FACILITY-BASED PROGRAM),ALADDIN DAY CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",88,403-238-4747
DAY CARE (FACILITY-BASED PROGRAM),ALBERT PARK CHILD CARE CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",52,403-248-8979
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ALBERT PARK CHILD CARE CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",52,403-248-8979
PRE-SCHOOL (FACILITY-BASED PROGRAM),ALBERTA BEACH COMMUNITY PLAYSCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",24,780-903-1099
DAY CARE (FACILITY-BASED PROGRAM),ALDERGROVE COMMUNITY LEAGUE CHILD CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",90,780-481-9153
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ALDERGROVE COMMUNITY LEAGUE CHILD CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",90,780-481-9153
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ALEXANDER FERGUSON ELEMENTARY SCHOOL SOCIETY,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",126,403-777-8270
PRE-SCHOOL (FACILITY-BASED PROGRAM),ALIX PRESCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",30,403-588-5199
DAY CARE (FACILITY-BASED PROGRAM),ALLARD DAYCARE CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",66,780-752-5888
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ALLARD DAYCARE CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",66,780-752-5888
DAY CARE (FACILITY-BASED PROGRAM),ALLEN GRAY CHILD DEVELOPMENT CENTRE DAY CARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",74,780-469-9606
DAY CARE (FACILITY-BASED PROGRAM),ALMOND BRANCH SCHOOL,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",36,780-381-5025
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ALOTTA FUN CHILDCARE OSC,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",40,780-434-0141
DAY CARE (FACILITY-BASED PROGRAM),ALPHABEEZ CHILDCARE CENTRE INC.,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",40,587-349-4449
PRE-SCHOOL (FACILITY-BASED PROGRAM),ALPHABEEZ CHILDCARE CENTRE INC.,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",40,587-349-4449
DAY CARE (FACILITY-BASED PROGRAM),ALPHABET DAYCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",106,403-406-6060
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ALPHABET DAYCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",106,403-406-6060
DAY CARE (FACILITY-BASED PROGRAM),ALPINE MONTESSORI CHILDREN'S CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",94,403-249-9474
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ALPINE MONTESSORI CHILDREN'S CENTRE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",94,403-249-9474
DAY CARE (FACILITY-BASED PROGRAM),ALTA MONTESSORI DAYCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",97,780-266-9256
DAY CARE (FACILITY-BASED PROGRAM),ALTA MONTESSORI DAYCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",51,780-473-4440
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ALTA MONTESSORI DAYCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",51,780-473-4440
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),ALTA MONTESSORI DAYCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",97,780-266-9256
DAY CARE (FACILITY-BASED PROGRAM),ALTADORE DAYCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",55,403-287-1727
DAY CARE (FACILITY-BASED PROGRAM),AM PM DAYCARE INCORPORATED,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",51,780-875-8784
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),AM PM DAYCARE INCORPORATED,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",51,780-875-8784
DAY CARE (FACILITY-BASED PROGRAM),AMAZING GRACE DAYCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",38,780-328-1700
DAY CARE (FACILITY-BASED PROGRAM),AMBLESIDE DAYCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",122,780-250-1828
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),AMBLESIDE DAYCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",122,780-250-1828
OUT OF SCHOOL CARE (FACILITY-BASED PROGRAM),AMY'S DAYCARE,"4807 131 AVENUE NW  EDMONTON, AB  T5A 3G7",117,780-666-0137
